"SIPSN - Sistem Informasi Pengelolaan Sampah Nasional","","","","","","","","","","","","",""
"Tahun","Provinsi","Kabupaten/Kota","Timbulan Sampah Tahunan (ton/tahun)(A)","Pengurangan Sampah Tahunan (ton/tahun)(B)","%Pengurangan Sampah(B/A)","Penanganan Sampah Tahunan (ton/tahun)(C)","%Penanganan Sampah(C/A)","Sampah Terkelola Tahunan (ton/tahun)(B+C)","%Sampah Terkelola(B+C)/A","Daur ulang Sampah Tahunan (ton/tahun)(D)","Bahan baku Sampah Tahunan (ton/tahun)(E)","Recycling Rate(D+E)/A","P1/P2"
"2022","Maluku","Kab. Maluku Tengah","62,010.58","35.68","0.06","4,745.00","7.65","4,780.68","7.71","35.68","","0.06","P 2"
"2022","Maluku","Kab. Buru Selatan","11,355.30","804.36","7.08","7,635.80","67.24","8,440.16","74.33","","","0.00","P 2"
"2022","Maluku Utara","Kab. Halmahera Utara","50,497.02","517.21","1.02","12,233.00","24.23","12,750.21","25.25","517.21","","1.02","P 2"
"2022","Maluku Utara","Kota Tidore Kepulauan","16,904.46","1,598.62","9.46","11,065.92","65.46","12,664.54","74.92","1,598.62","13.72","9.54","P 2"
"2022","Papua","Kab. Jayapura","31,360.25","5,665.65","18.07","23,849.10","76.05","29,514.75","94.12","5,493.25","","17.52","P 2"
"2022","Papua","Kab. Kepulauan Yapen","16,779.78","40.79","0.24","15,899.40","94.75","15,940.19","95.00","36.50","","0.22","P 2"
"2022","Papua","Kab. Biak Numfor","21,434.55","3,954.15","18.45","14,800.75","69.05","18,754.90","87.50","3,863.50","18.25","18.11","P 2"
"2022","Papua","Kab. Sarmi","6,109.95","0.00","0.00","2,168.10","35.48","2,168.10","35.48","","","0.00","P 2"
"2022","Papua","Kab. Waropen","5,285.20","3.03","0.06","2,190.00","41.44","2,193.03","41.49","3.03","","0.06","P 2"
"2022","Papua","Kota Jayapura","79,528.32","958.06","1.20","65,692.70","82.60","66,650.76","83.81","556.05","","0.70","P 2"
"2022","Papua Barat","Kab. Manokwari","59,627.83","365.00","0.61","40,861.75","68.53","41,226.75","69.14","365.00","","0.61","P 2"
"2022","Papua Barat","Kab. Teluk Wondama","6,697.17","0.00","0.00","2,131.97","31.83","2,131.97","31.83","","","0.00","P 2"
"2022","Papua Barat","Kab. Kaimana","9,290.42","13.36","0.14","4,595.35","49.46","4,608.71","49.61","12.78","","0.14","P 2"
"2022","Papua Selatan","Kab. Merauke","33,924.12","935.62","2.76","13,172.12","38.83","14,107.74","41.59","620.98","50.37","1.98","P 2"
"2022","Papua Selatan","Kab. Boven Digoel","9,518.18","0.00","0.00","2,153.50","22.63","2,153.50","22.63","","","0.00","P 2"
"2022","Papua Selatan","Kab. Asmat","16,624.29","178.65","1.07","3,285.00","19.76","3,463.65","20.83","164.25","","0.99","P 2"
"2022","Papua Tengah","Kab. Mimika","57,742.09","0.00","0.00","29,901.71","51.78","29,901.71","51.78","","","0.00","P 2"
"2022","Papua Barat Daya","Kab. Sorong","18,162.69","1,343.48","7.40","5,179.35","28.52","6,522.83","35.91","885.99","","4.88","P 2"
